tileswide 25
tileshigh 20
tilewidth 32
tileheight 32

layer 0
17,20,19,17,18,0,16,20,7,7,7,7,7,7,7,7,7,7,19,17,17,17,17,20,7,
0,16,18,4,1,0,0,16,20,7,7,7,7,7,7,7,7,7,14,0,4,5,6,15,7,
0,4,5,1,11,12,13,0,16,17,17,17,17,17,17,17,17,17,18,0,1,1,10,15,7,
0,3,1,1,15,7,21,13,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,15,7,
13,8,9,0,16,17,17,18,3,11,12,12,12,12,12,12,12,12,13,0,1,1,0,15,7,
14,0,0,1,1,1,0,0,8,15,7,7,7,7,7,7,7,7,14,0,1,1,0,15,7,
21,12,13,0,1,1,6,11,12,22,7,7,7,7,7,7,7,19,18,1,1,1,0,15,7,
20,7,21,12,12,13,1,16,17,17,17,17,17,20,7,7,19,18,0,1,1,0,11,22,7,
16,17,20,7,7,14,0,0,0,0,0,0,0,16,20,19,18,0,0,11,13,0,16,20,7,
1,1,16,20,7,21,12,12,12,12,12,13,0,0,16,18,0,0,11,22,14,0,0,15,7,
0,0,0,15,7,7,7,7,7,7,7,21,12,13,0,1,6,11,22,7,21,13,0,15,7,
6,0,11,22,7,7,7,7,7,7,7,7,7,21,13,1,1,15,7,7,7,14,0,15,7,
1,0,15,7,7,7,19,17,17,20,7,7,7,7,21,12,12,22,7,7,7,14,0,16,20,
1,6,16,20,7,7,14,0,0,15,7,7,7,7,7,7,7,7,7,7,7,14,0,0,15,
1,1,0,15,7,7,14,0,11,22,7,7,7,7,7,7,7,7,7,7,7,21,13,0,15,
1,1,0,15,7,7,14,0,16,17,17,17,17,17,17,17,17,20,7,7,7,7,14,0,15,
8,10,0,16,17,20,21,13,0,0,0,0,0,0,0,0,0,16,17,17,17,17,18,0,15,
13,0,0,0,0,16,20,21,12,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,15,
21,13,0,0,0,0,16,20,7,7,7,21,12,12,12,12,12,12,12,12,12,12,12,12,22,
7,14,0,0,0,0,0,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,

layer 1
-1,24,24,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,24,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,24,24,24,24,24,24,24,24,24,24,-1,-1,-1,-1,24,-1,
-1,-1,-1,-1,24,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,
-1,-1,-1,-1,24,24,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,
24,-1,-1,-1,-1,-1,-1,-1,-1,24,24,24,24,24,24,24,24,24,24,-1,-1,-1,-1,24,-1,
24,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,24,-1,
-1,24,24,-1,-1,-1,-1,24,24,24,24,24,24,24,-1,-1,24,24,24,-1,-1,-1,-1,24,-1,
24,24,-1,24,24,24,-1,-1,-1,-1,-1,-1,-1,-1,24,24,-1,-1,-1,-1,-1,-1,-1,24,-1,
-1,-1,24,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,24,24,-1,-1,-1,24,24,-1,-1,24,-1,
-1,-1,-1,24,-1,-1,24,24,24,24,24,24,-1,-1,-1,-1,-1,-1,24,-1,24,-1,-1,24,-1,
-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,24,24,-1,-1,-1,24,-1,-1,-1,24,-1,24,-1,
-1,-1,24,-1,-1,-1,-1,24,24,-1,-1,-1,-1,-1,24,-1,-1,24,-1,-1,-1,24,-1,24,-1,
-1,-1,24,-1,-1,-1,24,-1,-1,24,-1,-1,-1,-1,-1,24,24,-1,-1,-1,-1,24,-1,-1,24,
-1,-1,-1,24,-1,-1,24,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,24,
-1,-1,-1,-1,24,-1,24,-1,-1,24,24,24,24,24,24,24,24,24,-1,-1,-1,24,-1,-1,24,
-1,-1,-1,-1,24,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,24,24,24,-1,-1,24,
-1,-1,-1,-1,-1,-1,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,
-1,-1,-1,-1,-1,-1,-1,-1,24,24,24,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,
24,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,24,24,24,24,24,24,24,24,24,24,24,24,24,
24,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,

